	时间	踩	赞	评分	所看话数	内容
小明小明23333	1539356734	0	0	10	12	温馨而有趣，开始注意自己的健康了呢～
殇忆水	1539356362	0	0	10	13	超级赞，而且补习生物知识
暴躁的安拉	1539356243	0	0	10	13	真的没看够啊
帅气灬农夫	1539356235	0	0	10	13	这么好看又有科普 满分我都嫌少啊～
愁君陌	1539355990	0	0	10	13	感谢陪伴
爱汝之脸蛋	1539355428	0	0	10	13	对于我一个理科生来说，免疫系统完全学的不错，很不错的番
白夜银月玲珑声	1539354357	0	0	10	13	好好好好看
黑与新一	1539353824	0	0	10	12	赛高
辰宇の	1539352769	0	0	10	13	促进了学习的积极性吧，挺好的一部番
西方艺术的精髓	1539352137	0	0	10	13	超。。。好看
你只要开心就好啦	1539351548	0	0	10	13	晚了两天看完了，既是一部寓教于乐的科普番，也能让人意识到要爱护自己的身体，毕竟还有37兆2千万个细胞在我们体内呢～
绊王院瑞叶	1539349658	0	0	10	13	超级棒啊！！！完结撒花！！！???(o???o)???
辞夏SAMA-	1539349549	0	0	10	13	今天大家也是精神满满地工作着！冲鸭！！米娜桑！！！！
一声爱你遥不可及	1539349314	0	0	10	10	nice
张家柒狐	1539348878	0	0	10	13	“加油啊，你还有我们呢。”
五星上将BJ	1539348714	0	0	10	13	最后一集除了高燃之外，最后也不忘口音上搞笑了一下
雨诺羽曦ヽ德丽傻	1539348243	0	0	10	13	期待第二季
归逝殇	1539347515	0	0	10	13	暖心日常虐狗番 催婚！
゜Psai	1539346748	0	0	10	13	佩服作者的脑洞！
molantang	1539346369	0	0	10	13	我会好好珍惜身体的！！科普向，寓教于乐啊。血小板好可爱啊！！！！
与野海	1539346333	0	0	10	13	非常棒的一部作品！将体内的细胞拟人化，把人们日常可能不够关注的机体运转变成细胞们日复一日的工作呈现给大家，使大家在潜移默化中逐渐了解自己的身体，懂得一些医学常识，更为了自己和体内的细胞们要健康的生活。
粽子Spin	1539344894	0	0	10	13	五星好评，期待第二季
狐猫miao	1539344066	0	0	10	13	虽然最后套路很俗套，但是还是骗取了我大把眼泪~太好看啦~下一季再见~
wenrousk	1539344045	0	0	10	13	真的很OK
山鬼超可耐的	1539343829	0	0	10	13	感谢陪伴，喜欢白哥的小透明默默表个白?(??▽??)ρ
阿沈阿安一颗葡萄树	1539343013	0	0	10	3	一边看一遍复习免疫…
宇智波焘	1539342696	0	0	10	13	不看会后悔系列，完美，期待下一部和下下一部，以及下下下一部……
传说勇者的圣剑圈圈丸	1539339970	0	0	10	3	老夫的少女心。。
灵魅君	1539339596	0	0	10	13	爱惜身体，这个世界上总有些事物在背后默默支持你。
椎名真由理喵	1539338421	0	0	10	13	看完之后都不敢自残了_(:з」∠)_
甜不辣最高监狱狱长	1539334665	0	0	10	8	期待下一部
小小小小瓶	1539331863	0	0	10	13	这番的评分怕是只增不减了qwq
我觉的还OK-	1539330636	0	0	10	13	看过最好看的番剧，以前受点小伤感觉没什么，看过以后前几天被美工刀划到手流血的时候就总感觉是有一堆血小板和红细胞流出来(×_×;)，强烈安利，没看过的一定要看看ヾ(??ω??)
Dragonmushroom	1539327813	0	0	10	13	一句话，这番你不看，亏大了！
领盒饭时间到了	1539325643	0	0	10	12	好看好看，感人温馨又搞笑，值得一看
西再遇见	1539322401	0	0	10	13	太可爱了~科普＋搞笑  还略带热血
蒋治玥	1539322157	0	0	10	13	好看呢
慕绾纱	1539322140	0	0	10	13	超好看(??ω??)?
-城北徐公-	1539320676	0	0	10	10	好看！好看！
植太太	1539320447	0	0	10	13	好看，感觉非常轻松有趣！坐等二季！
字母貌若潘安	1539320359	0	0	10	13	剧情好感人 而且一步一步介绍细胞的手法也很值得推荐 在娱乐和感动的同时也能学习到知识 吃到狗粮…b站追的第二部番 很喜欢很喜欢。
渊虹今天修好了吗	1539319977	0	0	10	13	超好看*?(???`?)?*，红细胞和血小板都超可爱，还有我真的太喜欢白哥了哈哈哈哈哈哈哈哈哈哈哈哈哈哈
猫K君	1539319879	0	0	10	13	绝对好番！墙裂推荐，你会来感谢我的。
MISAKA133910	1539319146	0	0	10	12	不给五星良心不安
慵懒的雪狐	1539319007	0	0	10	13	好看
卧室菌	1539314289	0	0	10	13	就是喜欢，无需解释_(:з」∠)_
袭击撩风	1539313926	0	0	8	13	啥时候第二季出了改五星，做个标记╮(￣▽￣)╭
浮尘不飘零	1539312074	0	0	8	7	其实有些无聊额，我当时看漫画的时候觉得不要太无聊，人物多画面看得也很累。因为三星会被人说成恶意刷低分，虽然不然我就给三星了。完全是被声优拯救的一部番。
隔壁老王家的橘猫	1539311719	0	0	10	10	喜欢！
啊咧我手滑了	1539311629	0	0	10	13	向体内37兆细胞致敬！
just唯爱one	1539310420	0	0	10	13	好看好看
漫游新生	1539309743	0	0	10	13	果然是一个良心到极点的番啊，七月霸权
苏七少女	1539303357	0	0	10	13	炒鸡好看的一部番剧是我在哔哩哔哩里面追过的第一个番剧
顾柒柒guqi	1539299417	1	0	10	13	涨知识了。
傻露露	1539241118	1	0	10	13	有这么多勤奋工作的细胞们来维持我的存在，突然觉得不孤单了呢。啊呀，看大结局的时候掉了不少眼泪，不知道有多少细胞离开了呢(O_O)。我们一起好好的努力活下去吧～
