SN_CODE,SN_CITY,SN_PROV,SN_LEVEL,SN_LNG,SN_NAME,SN_LAT,ST_PRICEURL,SN_THEME
1000100,鄂尔多斯,内蒙古,4A,109.792758,康巴什旅游区,39.592338,,田园度假
1000101,呼伦贝尔,内蒙古,,119.9201460937,室韦,50.8286711055,,水乡古镇
1000102,锡林郭勒盟,内蒙古,,116.136948,灰腾草原,44.078961,,草原沙漠
1000103,呼伦贝尔,内蒙古,,119.542231,诺干湖,47.948516,40,
1000104,呼伦贝尔,内蒙古,,119.760822,呼伦贝尔一塔两寺,49.201636,,园林景观
1000105,呼伦贝尔,内蒙古,4A,118.055468,巴尔虎蒙古部落,49.50612,24,
1000106,呼伦贝尔,内蒙古,3A,119.723729,海拉尔国家森林公园,49.218999,,田园度假
1000107,赤峰,内蒙古,4A,119.376537,召庙北五台,43.852821,1,宗教祈福
1000108,赤峰,内蒙古,,120.109021,响水玉瀑,42.444802,,
1000109,呼和浩特,内蒙古,,110.996331,哈素海码头水上观光,40.628271,,都市观光
1000110,包头,内蒙古,4A,110.717548,美岱召,40.607474,25,
1000111,锡林郭勒盟,内蒙古,,116.198529,元上都遗址(金莲川),42.364743,,
1000112,通辽,内蒙古,,120.24597,章古台佛塔,43.471983,,
1000113,阿拉善盟,内蒙古,,101.286079,额济纳旗策克口岸景区,42.589628,,
1000114,鄂尔多斯,内蒙古,4A,107.343731,大沙头生态文化旅游区,38.290802,,
1000115,锡林郭勒盟,内蒙古,,116.529746,多伦诺尔我有戏国际草原音乐季,42.212002,,都市观光
1000116,赤峰,内蒙古,,117.238302,白音敖包国家级自然保护区,43.537305,45,草原沙漠
1000117,呼伦贝尔,内蒙古,,120.652763,白桦林景区,51.66082,53,
1000118,兴安,内蒙古,,119.961627,阿尔山天池空中游览,47.166667,,都市观光
1000119,阿拉善盟,内蒙古,,101.145027,黑城怪树林,41.770348,,古迹遗址
1000120,鄂尔多斯,内蒙古,4A,109.335869,库布齐沙漠,40.331766,280,草原沙漠
1000121,乌兰察布,内蒙古,4A,112.530927,黄花沟草原旅游区,41.140556,225,湖光山色
1000122,呼伦贝尔,内蒙古,,118.583527,胡列也吐度假村,49.852394,,
1000123,呼和浩特,内蒙古,,111.880874,千古马颂,40.942538,162,赛事演出
1000126,赤峰,内蒙古,,118.660084,巴林奇石馆,43.530166,,
1000127,呼伦贝尔,内蒙古,,123.083975,仙人洞,48.528565,,
1000128,阿拉善,内蒙古,,105.38012,阿拉善英雄会梦想冰雪世界主题嘉年华,38.766104,,主题乐园
1000129,赤峰,内蒙古,,116.969223,贡格尔草原,43.386668,,
1000130,呼伦贝尔,内蒙古,,120.041099,哈乌尔河,50.964573,45,
1000131,赤峰,内蒙古,,118.676679,赤峰龙泉寺,41.942284,,宗教祈福
1000132,鄂尔多斯,内蒙古,4A,108.791049,萨拉乌苏旅游区,37.983697,40,湖光山色
1000133,呼和浩特,内蒙古,4A,111.790959,蒙牛工业旅游景区,40.485684,,都市观光
1000135,呼伦贝尔,内蒙古,,119.760822,中俄友谊大桥,49.201636,,古迹遗址
1000137,鄂尔多斯,内蒙古,,107.75202,百眼窟,39.286297,,
